iter=187, S=[3961, 30317], exptime=6463040.0
iter=188, S=[3844, 30343], exptime=6547098.0
iter=189, S=[3927, 30451], exptime=6153660.0
iter=190, S=[4079, 30410], exptime=6119284.0
iter=191, S=[3881, 30305], exptime=6208020.0
iter=192, S=[4026, 30183], exptime=6221852.0
iter=193, S=[3867, 30131], exptime=6191829.0
iter=194, S=[3874, 30000], exptime=6119640.0
iter=195, S=[3796, 29862], exptime=5995698.0
iter=196, S=[3915, 30009], exptime=6260388.0
iter=197, S=[3895, 30165], exptime=6309864.0
iter=198, S=[3742, 30270], exptime=6062680.0
iter=199, S=[3742, 30270], exptime=6062680.0
iter=200, S=[3849, 30135], exptime=6564316.0
iter=201, S=[3991, 30007], exptime=6253056.0
iter=202, S=[4099, 30066], exptime=6459620.0
iter=203, S=[3966, 29970], exptime=6081370.0
iter=204, S=[3867, 29895], exptime=6074544.0
iter=205, S=[4054, 29836], exptime=6077160.0
iter=206, S=[4199, 29659], exptime=5829080.0
iter=207, S=[4199, 29659], exptime=5829080.0
iter=208, S=[4199, 29659], exptime=5829080.0
iter=209, S=[4026, 29530], exptime=5891292.0
iter=210, S=[4026, 29530], exptime=5891292.0
iter=211, S=[4026, 29530], exptime=5891292.0
iter=212, S=[3831, 29635], exptime=5872300.0
iter=213, S=[3831, 29635], exptime=5872300.0
iter=214, S=[3778, 29692], exptime=6023880.0
iter=215, S=[3876, 29712], exptime=6727470.0
iter=216, S=[4004, 29818], exptime=6247368.0
iter=217, S=[3891, 29898], exptime=5918850.0
iter=218, S=[3891, 29898], exptime=5918850.0
iter=219, S=[3891, 29898], exptime=5918850.0
iter=220, S=[3891, 29898], exptime=5918850.0
iter=221, S=[3891, 29898], exptime=5918850.0
iter=222, S=[3891, 29898], exptime=5918850.0
iter=223, S=[3831, 30034], exptime=6115809.0
iter=224, S=[3921, 30068], exptime=6535945.0
iter=225, S=[3800, 29949], exptime=6118020.0
iter=226, S=[3794, 30068], exptime=6412310.0
iter=227, S=[3976, 30215], exptime=6603090.0
iter=228, S=[3947, 30144], exptime=6222762.0
iter=229, S=[3756, 30206], exptime=6034107.0
iter=230, S=[3756, 30206], exptime=6034107.0
iter=231, S=[3750, 30398], exptime=6011274.0
iter=232, S=[3750, 30398], exptime=6011274.0
iter=233, S=[3752, 30423], exptime=6829600.0
iter=234, S=[3767, 30351], exptime=6014800.0
iter=235, S=[3767, 30351], exptime=6014800.0
iter=236, S=[3767, 30351], exptime=6014800.0
iter=237, S=[3767, 30351], exptime=6014800.0
iter=238, S=[3767, 30351], exptime=6014800.0
iter=239, S=[3788, 30510], exptime=6345948.0
iter=240, S=[3986, 30476], exptime=6653812.0
iter=241, S=[4112, 30640], exptime=6651166.0
iter=242, S=[4293, 30560], exptime=6290112.0
iter=243, S=[4095, 30720], exptime=5959863.0
iter=244, S=[3901, 30683], exptime=6127440.0
iter=245, S=[3901, 30683], exptime=6127440.0
iter=246, S=[4083, 30642], exptime=6155952.0
iter=247, S=[4229, 30451], exptime=5799075.0
iter=248, S=[4229, 30451], exptime=5799075.0
iter=249, S=[4294, 30303], exptime=5756880.0
iter=250, S=[4440, 30273], exptime=5673908.0
iter=251, S=[4315, 30327], exptime=5727645.0
iter=252, S=[4168, 30148], exptime=6200918.0
iter=253, S=[4085, 29964], exptime=6211196.0
iter=254, S=[3908, 29777], exptime=6094771.0
iter=255, S=[3977, 29720], exptime=6096985.0
iter=256, S=[3977, 29720], exptime=6096985.0
iter=257, S=[3977, 29720], exptime=6096985.0
iter=258, S=[3977, 29720], exptime=6096985.0
iter=259, S=[3779, 29650], exptime=6099157.0
iter=260, S=[3779, 29650], exptime=6099157.0
iter=261, S=[3788, 29546], exptime=6451797.0
iter=262, S=[3697, 29569], exptime=6300126.0
iter=263, S=[3697, 29569], exptime=6300126.0
iter=264, S=[3837, 29428], exptime=6586668.0
iter=265, S=[3919, 29526], exptime=6519940.0
iter=266, S=[3932, 29685], exptime=6321105.0
iter=267, S=[4093, 29824], exptime=6051060.0
iter=268, S=[4205, 29791], exptime=6105060.0
iter=269, S=[4249, 29818], exptime=5949300.0
iter=270, S=[4414, 29839], exptime=5757323.0
iter=271, S=[4566, 29820], exptime=5720251.0
iter=272, S=[4408, 29969], exptime=5742462.0
iter=273, S=[4425, 29961], exptime=5706582.0
iter=274, S=[4372, 29986], exptime=5811234.0
iter=275, S=[4507, 29914], exptime=5978292.0
iter=276, S=[4565, 29783], exptime=5541781.0
iter=277, S=[4623, 29640], exptime=5633072.0
iter=278, S=[4456, 29578], exptime=5790447.0
iter=279, S=[4431, 29392], exptime=5615610.0
iter=280, S=[4310, 29244], exptime=5377857.0
iter=281, S=[4293, 29236], exptime=5939058.0
iter=282, S=[4269, 29382], exptime=5834046.0
iter=283, S=[4279, 29440], exptime=5888925.0
iter=284, S=[4288, 29323], exptime=5698511.0
iter=285, S=[4163, 29518], exptime=5881925.0
iter=286, S=[4315, 29413], exptime=5860494.0
iter=287, S=[4315, 29413], exptime=5860494.0
iter=288, S=[4134, 29542], exptime=5666304.0
iter=289, S=[4105, 29644], exptime=5657568.0
iter=290, S=[4105, 29644], exptime=5657568.0
iter=291, S=[4105, 29644], exptime=5657568.0
iter=292, S=[4105, 29644], exptime=5657568.0
iter=293, S=[4231, 29472], exptime=6277314.0
iter=294, S=[4059, 29376], exptime=5931728.0
iter=295, S=[4254, 29267], exptime=6018300.0
iter=296, S=[4176, 29200], exptime=5631528.0
iter=297, S=[4176, 29200], exptime=5631528.0
